method,metric,mean,std,n_seeds
ERM,overall_accuracy,0.922390979173858,0.024528360791385557,3
ERM,worst_group_accuracy,0.7995846313603323,0.003919955573868481,3
ERM,group_0_accuracy,0.9943828529194384,0.0022756547403312848,3
ERM,group_1_accuracy,0.8780487804878049,0.05858192156887986,3
ERM,group_2_accuracy,0.7995846313603323,0.003919955573868481,3
ERM,group_3_accuracy,0.9480789200415369,0.005007087622530039,3
ERM,aligned_accuracy,0.9712308864804876,0.0033277132217638212,3
ERM,conflicting_accuracy,0.8388167059240687,0.03122910404402586,3
ERM,shortcut_gap,0.1324141805564189,0.028162351701059924,3
ERM,loss,0.23534667181236227,0.03668439687249731,3
GroupBalancedERM,overall_accuracy,0.9401104590956163,0.001553331032102201,3
GroupBalancedERM,worst_group_accuracy,0.7933541017653166,0.08724595560247132,3
GroupBalancedERM,group_0_accuracy,0.9917220990391722,0.0042148048571716374,3
GroupBalancedERM,group_1_accuracy,0.931559497413156,0.022569985543614418,3
GroupBalancedERM,group_2_accuracy,0.7933541017653166,0.08724595560247132,3
GroupBalancedERM,group_3_accuracy,0.9356178608515058,0.017086690209661953,3
GroupBalancedERM,aligned_accuracy,0.9636699799453389,0.006579933285740534,3
GroupBalancedERM,conflicting_accuracy,0.8624567995892364,0.0323508534538949,3
GroupBalancedERM,shortcut_gap,0.10121318035610256,0.02583452013561397,3
GroupBalancedERM,loss,0.1822386539211455,0.00653464961820535,3
