metric,mean_delta,std_delta,n_seeds
overall_accuracy,0.01771947992175819,0.023846698724912175,3
worst_group_accuracy,-0.006230529595015614,0.08363485207887106,3
group_0_accuracy,-0.002660753880266061,0.006441613767775618,3
group_1_accuracy,0.053510716925351,0.07910037051654102,3
group_2_accuracy,-0.006230529595015614,0.08363485207887106,3
group_3_accuracy,-0.012461059190031118,0.01485886606568462,3
aligned_accuracy,-0.0075609065351487,0.004894141514499939,3
conflicting_accuracy,0.023640093665167655,0.017292092513674834,3
shortcut_gap,-0.03120100020031633,0.014519699536684057,3
loss,-0.0531080178912168,0.03038625601467031,3
